광역지자체,방문자 수,전년도 방문자 수,전년도 대비 방문자 증감 비율
서울특별시,5.59E+08,4.87E+08,14.7
부산광역시,1.39E+08,1.24E+08,11.59
대구광역시,9.89E+07,8.78E+07,12.68
인천광역시,1.57E+08,1.36E+08,14.91
광주광역시,6.37E+07,5.63E+07,13.09
대전광역시,7.57E+07,6.92E+07,9.44
울산광역시,4.70E+07,4.30E+07,9.16
세종특별자치시,2.69E+07,2.54E+07,5.66
경기도,6.04E+08,5.53E+08,9.38
강원도,1.54E+08,1.30E+08,17.8
충청북도,1.08E+08,9.63E+07,11.97
충청남도,1.58E+08,1.43E+08,10.64
전라북도,9.46E+07,8.33E+07,13.54
전라남도,1.27E+08,1.15E+08,10.72
경상북도,1.78E+08,1.62E+08,9.92
경상남도,1.51E+08,1.41E+08,6.94
제주특별자치도,6.84E+07,5.96E+07,14.87
