"r_fetv_name","r_fetv_est","recomm_no","u_id","r_fetv_tag"
"2022 동아시아 주류문화 페스티벌","4.5","81",test,"#경주가볼만한곳,#경주가볼만한축제,#경주축제,#동아시아,#주류문화페스티벌,#축제,#친구와함께,#경북"
"2022 D.FESTA 대학로거리공연축제","4.5","82",test,"#가볼만한축제,#가족여행,#공연장,#관광지,#기차여행,#나들이,#대학로거리공연축제,#데이트코스,#도심여행,#수도권,#아이와함께,#연인과함께,#이색체험,#체험학습,#축제,#친구와함께,#힐링,#서울"
제15회 의정부 부대찌개 축제,"4.5","83",test,"#관광지,#맛,#부대찌개,#부대찌개축제,#음식,#의정부,#의정부가볼만한곳,#의정부축제,#축제,#경기"
"2022 정조대왕 능행차 공동재현","4.5","84",test,"#경기도,#관광지,#이색,#정조대왕,#축제,#서울"
유성정월대보름제,"4.5","85",one1,"#가볼만한축제,#가족여행,#관광지,#기차여행,#나들이,#아이와함께,#연인과함께,#유성정월대보름제,#이색체험,#전통&역사문화체험,#체험학습,#축제,#친구와함께,#힐링,#대전"
봉화송이축제,"4.5","86",one1,"#가볼만한축제,#가족여행,#경상권,#기차여행,#나들이,#데이트코스,#맛축제,#먹거리,#봉화,#봉화송이축제,#송이,#아이와함께,#연인과함께,#이색체험,#자연좋은곳,#체험학습,#축제,#친구와함께,#특산물,#힐링,#경북"
한림공원 매화축제,"4.5","87",one1,"#가볼만한축제,#가족여행,#관광지,#꽃여행,#나들이,#데이트코스,#섬여행,#아이와함께,#연인과함께,#이색체험,#제주권,#체험학습,#축제,#친구와함께,#한림공원매화축제,#힐링,#제주"
전남국제수묵비엔날레,"4.5","88",one1,"#국제수묵비엔날레,#먹,#목포,#수묵,#전남국제수묵비엔날레,#전시회,#진도,#축제,#전남"
아시아프,"4.5","89",one1,"#공연·예술·전시,#관광지,#나들이,#서울전시회,#아시아프,#축제,#서울"
강화도왕방마을겨울축제,"4.5","90",one1,"#가족과함께,#강화도,#겨울낚시,#겨울여행,#겨울축제,#빙어낚시,#아이와함께,#축제,#친구와함께,#인천"
"2022 대구 떡볶이 페스티벌","4.5","91",two2,"#가족과함께,#대구가볼만한곳,#대구떡볶이페스티벌,#대구축제,#대구행사,#떡볶이,#떡볶이페스티벌,#이색축제,#축제,#친구와함께,#대구"
"2022 보드게임콘","4.5","92",two2,"#가볼만한축제,#관광지,#나들이,#보드게임콘,#수도권,#아이와함께,#연인과함께,#이색체험,#축제,#친구와함께,#서울"
아침고요수목원 무궁화전시회,"4.5","93",two2,"#가족과함께,#가평아침고요수목원,#관광지,#꽃축제,#무궁화전시회,#아침고요수목원,#축제,#경기"
국립민속박물관 정월대보름 한마당,"4.5","94",two2,"#가볼만한축제,#가족여행,#관광지,#국립민속박물관,#국립민속박물관정월대보름한마당,#기차여행,#나들이,#데이트코스,#수도권,#아이와함께,#연인과함께,#이색체험,#전통&역사문화체험,#정월대보름,#체험학습,#축제,#친구와함께,#힐링,#서울"
지리산천왕축제,"4.5","73",jungin,"#가족과함께,#관광지,#축제,#함양,#경남"
태화강국제설치미술제,"4.5","74",jungin,"#가볼만한축제,#가족여행,#관광지,#기념관,#데이트코스,#문화행사,#아이와함께,#연인과함께,#예술,#이색체험,#체험학습,#축제,#친구와함께,#태화강국제설치미술제,#울산"
동강국제사진제,"4.5","75",jungin,"#2022_추석_가볼만한_축제,#가볼만한축제,#가족여행,#강원권,#공연·예술·전시,#기차여행,#나들이,#데이트코스,#동강국제사진제,#박물관,#아이와함께,#연인과함께,#예술,#이색체험,#체험학습,#축제,#친구와함께,#힐링,#강원"
"2022 제50회 우륵문화제","4.5","76",jungin,"#가을축제,#문화제,#시민과함께,#예술여행,#예술축제,#우륵문화제,#축제,#충북"
전주 단오,"4.5","77",jungin,"#가볼만한축제,#가족여행,#관광지,#기차여행,#나들이,#데이트코스,#아이와함께,#연인과함께,#이색체험,#전라권,#전주단오,#전통&역사문화체험,#체험학습,#축제,#친구와함께,#힐링,#전북"
뮤직플로우페스티벌(Music Flow Festival),"4.5","78",jungin,"#관광지,#뮤직,#부평,#온라인축제,#음악,#축제,#인천"
원주옥상영화제,"4.5","79",jungin,"#가족과함께,#상지대학교,#아이와함께,#영화제,#원주가볼만한곳,#원주축제,#원주행사,#축제,#친구와함께,#한국관광공사,#강원"
"2022 ZER01NE DAY","4.5","80",jungin,"#공연,#서울가볼만한곳,#서울축제,#전시,#축제,#서울"
